Mission|Sensor Mode|Satellite Name|Track Offset|Is Enabled Sat|Allowed Look Side|Near Off Nadir SAT|Far Off Nadir SAT|Beam Name|Near Off Nadir Beam|Far Off Nadir Beam|Is Enabled Beam|Sw Dim1|Sw Dim2|Is Spot Light|Dto Min duration|Dto Max Duration|Res Time
CSK|SP_ENHANCED|SAR1|0|Yes|Both|18.170|19.970|ES-0A|18.170|19.970|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|19.520|20.860|ES-0B|19.520|20.860|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|20.600|21.940|ES-0C|20.600|21.940|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|21.580|22.930|ES-0D|21.580|22.930|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|22.570|23.910|ES-01|22.570|23.910|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|23.730|25.070|ES-02|23.730|25.070|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|24.360|25.690|ES-03|24.360|25.690|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|25.490|26.830|ES-04|25.490|26.830|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|26.500|28.140|ES-05|26.500|28.140|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|27.980|29.080|ES-06|27.980|29.080|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|28.880|30.220|ES-07|28.880|30.220|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|30.180|31.520|ES-08|30.180|31.520|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|31.440|32.770|ES-09|31.440|32.770|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|32.310|33.650|ES-10|32.310|33.650|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|33.330|34.530|ES-11|33.330|34.530|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|34.470|35.680|ES-12|34.470|35.680|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|35.150|36.370|ES-13|35.150|36.370|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|35.930|37.240|ES-14|35.930|37.240|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|36.870|38.180|ES-15|36.870|38.180|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|38.000|39.110|ES-16|38.000|39.110|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|39.020|40.040|ES-17|39.020|40.040|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|39.970|41.090|ES-18|39.970|41.090|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|41.060|42.000|ES-19|41.060|42.000|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|41.650|42.590|ES-20|41.650|42.590|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|42.540|43.620|ES-21|42.540|43.620|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|43.570|44.400|ES-22|43.570|44.400|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|44.360|45.140|ES-23|44.360|45.140|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|45.050|45.940|ES-24|45.050|45.940|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|45.830|46.500|ES-25|45.830|46.500|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|46.460|47.130|ES-26|46.460|47.130|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|47.030|47.760|ES-27|47.030|47.760|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|47.700|48.380|ES-28|47.700|48.380|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|48.350|48.880|ES-29|48.350|48.880|Yes|10.0|10.0|Yes|6000|600000|5000
CSK|SP_ENHANCED|SAR1|0|Yes|Both|48.860|49.410|ES-30|48.860|49.410|Yes|10.0|10.0|Yes|6000|600000|5000
